ref,type,datasource,content
1,text,,<img src="data/images/Teaser_BZR_FH.png" alt="Kurzporträt der Bezirksregion" height="auto" width="100%">
1,map-poi,Karte Bezirksregion,Tabelle zum Kurzportrait
1,titel,,
1,titel-sm,,"Die Bezirksregion Friedrichshagen mit einer Größe von 14 km² gliedert sich in die zwei Planungsräume (PLR) Hirschgarten und Bölschestraße. Hirschgarten ist mit 1,81 km² der wesentlich kleinere PLR der BZR."
1,table,Tabelle Kurzportrait,Planungsraum Hirschgarten
1,text,,"Baulich wird der PLR von der 1870 gegründeten Villenkolonie Hirschgarten an der Müggelspree, die sternförmig um den als Rondell in der Mitte wirkenden Hirteplatz angelegt wurde, sowie von den genossenschaftlichen Wohnanlagen der 1920er/ 1930er und 1950er Jahre am Fürstenwalder Damm geprägt. <br>Die umfangreich sanierte und neu gestaltete Kreuzungsanlage Müggelseedamm/ Fürstenwalder Damm und ein sich anschließendes kleines Waldstück, das Hirschgartendreieck, separieren die historische Villenkolonie. Heute wird der überwiegende Teil zu Wohnzwecken genutzt. Ehemals vorhandene Nutzungen wie ein Solebad, eine Badeanstalt und Bootshäuser, die das Gebiet als Ausflugsziel erkennen ließen, sind nicht mehr vorhanden.<br>Im Bereich des S-Bahnhofes Hirschgarten und des Neuenhagener Fließes sind Einfamilienhausanlagen und zwei Kleingartenanlagen zu finden.<br>Von besonderer Bedeutung mit direkter Lage an der Müggelspree ist das Wassersportzentrums Berlin mit Marina und einem vielfältigen Branchenmix.<br>Weitere Möglichkeiten zur Erholung bzw. für sportliche Aktivitäten bieten der weitläufige Wiesenbereich des Erpetals, der Sportplatz Hirschgartendreieck am Fürstenwalder Damm und die Waldflächen zwischen Müggelspree und Fürstenwalder Damm. Hier existiert auch eine Freifläche am Wasser, welche als Badestelle genutzt wird.<br>Nördlich des Planungsraumes verläuft die Bahnstrecke Berlin-Frankfurt/ Oder.<br>"
1,titel-sm,,Planungsraum Bölschestraße
1,text,,"Das Herzstück des PLRs bildet die ab 1753 angelegte 1,25 km lange Bölschestraße mit ihren Bauten für die damaligen Kolonistenfamilien der Seidenraupenzucht und Baumwollspinnerei.<br>Der langgestreckte Straßenzug stellt sich heute als städtischer Raum dar, der charakterisiert wird durch das Nebeneinander weniger eingeschossiger Gebäude, zweigeschossiger Bauten mit meist spätklassizistischen Fassaden und Gebäuden der Gründerzeit. Ebenso prägen der breite Straßenraum mit den baumbestandenen Bürgersteigen und die platzartige Aufweitung um Kirche und Markt diesen Ortskern.<br>Heute ist die ehemalige Dorfstraße mit ihren Einkaufsmöglichkeiten, der vielfältigen Gastronomie und mit den Handels- und Dienstleistungseinrichtungen ein vitaler Standort von wirtschaftlicher, überregionaler und touristischer Bedeutung.<br>Charakteristisch für die Bölschestraße sind die sehr tiefen Grundstücke (ca. 150 m), die im Anschluss an Vorderhaus und Hofbebauung als Gartenland genutzt werden. Die dadurch vorhandenen privaten Freiflächen sind von besonderem städtebaulichem, ökologischem und stadtklimatischem Wert.<br>Der Planungsraum wird durch die Bahnstrecke Berlin-Frankfurt/ Oder in zwei Hälften geteilt.<br><br>Der städtebauliche Raum östlich der Bölschestraße ist durch ein- und zweigeschossige traufständige Häuser des 18. Jahrhunderts, durch drei- und viergeschossige Gründerzeitbauten sowie vereinzelt durch Zeilenbebauung der 1950er/ 60er Jahren geprägt und wird fast ausschließlich zu Wohnzwecken genutzt.<br><br>Erholungsmöglichkeiten in direkter Nähe für Jung und Alt bieten der Goldmannpark, die Grünanlage in der Werlseestraße, mehrere Kinderspielplätze und für sportliche Aktivitäten der Sportplatz Friedrichshagen am Fürstenwalder Damm.<br>An der Grenze zur BZR Rahnsdorf/ Hessenwinkel schließt sich der Komplex des Wasserwerks Friedrichshagen an, welches 1893 als dritt-modernstes Wasserwerk Europas in Betrieb ging. Nach zahlreichen Erweiterungs- und Modernisierungsbauten ist es heute eins der neun Werke der Berliner Wasserbetriebe (BWB) und versorgt fast 20 % Berlins mit Trinkwasser. Das Altwerk wurde in der 1990er Jahren stillgelegt. Mit seinen Bauten aus märkischem Backstein im Stil der Neugotik erinnert es an eine Klosteranlage und gilt als hervorragendes Zeugnis der Industriegeschichte. Es ist ein Flächendenkmal von europäischem Rang.<br><br>Unterschiedliche Haustypen wie die fünfgeschossigen Wohnhäuser des „Albert-Schweitzer-Viertels“ in Plattenbauweise der 1960er Jahre, funktionale Neubauten, denkmalgeschützte Altbauten sowie Jugendstilvillen prägen den städtebaulichen Raum westlich der Bölschestraße. Eingebettet ist hier der Friedhof der evangelischen Kirchengemeinde. Auf der Liegenschaft des Bundes am Fürstenwalder Damm 388 wurde 2014 das Speichermagazin Friedrichshagen der Stiftung Preußischer Kulturbesitz in Betrieb genommen.<br><br>Der südliche Bereich des PLR`s zeigt die verschiedenen Facetten von Vergangenheit und Gegenwart.<br>Die aus der Zeit des Kur- und Ausflugortes Friedrichshagen stammenden Traufenhäuser sowie Gründerzeitbauten, z. T. mit direktem Zugang zum Großen Müggelsee, prägen den städtebaulichen Raum und werden überwiegend zu privaten Wohnzwecken genutzt. Lücken wurden mit Neubauten auch mit luxuriösen Wohnanlagen geschlossen.<br>Das unter Denkmalschutz stehende Ensemble der ehemaligen Brauerei Berliner Bürgerbräu direkt am Ufer der Müggelspree und am Eingang zum Müggelsee war bis zur Schließung im Jahr 2010 die älteste Brauerei der Stadt Berlin. Aktuell werden einzelne Bereiche gastronomisch sowie das historische Sudhaus als Museum genutzt.<br>Hier schließt sich der denkmalgeschützte Müggelpark mit einer Fläche von ca. 16.000 m² an. Zum Areal gehören eine Grünanlage mit 117 Bäumen, wovon die Ältesten schon seit 1843 an ihrem Platz stehen, ein Kinderspielplatz, der gesamte Uferbereich bzw. eine Promenade, eine Anlegestelle für Fahrgastschiffe, die DLRG-Station und der Spreetunnel. 8.2<br><br>Der 1926/27 erbaute Fußgängertunnel mit einer Gesamtlänge von ca. 120 Meter unter der Spree entlang, wurde als erster Eisenbeton-Tunnel in Senkkastenbauweise unter Druckluftanwendung in Deutschland hergestellt und verbindet seither Friedrichshagen mit dem südlichen Müggelspreeufer. <br>Weitere Möglichkeiten zur Gestaltung der Freizeit und Erholung bieten das Museum im Alten Wasserwerk, das Seebad Friedrichshagen sowie die Grünanlage am Müggelseedamm auf Höhe der Kalkseestraße mit ihren Seeterrassen.<br>Die Lagegunst des Großen Müggelsees nutzt auch das ansässige Leibniz-Institut für Gewässerökologie und Binnenfischerei für seine Forschungsarbeit.<br><br>Das ausgedehnte Forstgebiet der Krummendammer Heide, das Neuenhagener Mühlenfließ (Erpe) und das Landschaftsschutzgebiet Erpetal mit seinen großflächigen Feuchtwiesen prägen den nördlichen Bereich des PLR`s. Allein zwischen Schöneicher Straße und Bahnstrecke ist städtebaulicher Raum für Wohnzwecke ausgewiesen. <br>Westlich der Dahlwitzer Landstraße schließt sich ein zusammenhängender Komplex von Kleingartenanlagen bzw. Gartensiedlungen an – darunter die 1926 gegründete Kleingartenanlage „Erpetal“. <br>Zur Erholung, Freizeitgestaltung und für die sportliche Betätigung dienen der 1880 nördlich der Bahntrasse angelegte Kurpark, ein Naturtheater bzw. Freilichtkino, ein Spielplatz und eine Tennisanlage. Der Kurpark ist eine als Gartendenkmal geschützte Parkanlage.<br><br>Aufgrund der städtebaulichen Bedeutung und der erhaltenen ursprünglichen Bebauung der historischen Ortslagen in der BZR unterliegen wesentliche Bereiche im PLR Hirschgarten und im PLR Bölschestraße einer städtebaulichen Erhaltungsverordnung nach § 172 BauGB.<br>"
1,titel-sm,,
1,text,,2.1. Entwicklung der Einwohnerinnen und Einwohner (EW)
2,titel,,Tabelle EW-Zahl
2,titel-sm,,
2,titel-sm,,"In der Bezirksregion (BZR) Friedrichshagen leben 17.997 Einwohner/-innen (EW). Dies entspricht der EW-Zahl einer Kleinstadt. In dem wesentlich größeren Planungsraum (PLR) Bölschestraße leben mehr als 80 % der EW der BZR. Der Anteil der weiblichen EW liegt in beiden PLR etwas höher als der der männlichen EW. <br>Über einen Zeitraum von fünf Jahren ist die EW-Zahl in der BZR um 2,9 % gestiegen. Im Vergleich zum Vorjahr zeigt sich eine höhere Zunahme der EW-Zahl von über 2 % im PLR Hirschgarten.<br>"
2,table,Tabelle EW,Tabelle EW-Zahl
2,text,,Entwicklung EW-Zahl
2,map-pr,Karte FH EW,Entwicklung EW-Zahl
